category_id,title,parent_1,parent_2,parent_3
eyebrowservices,Eyebrow Services,beautysvc,,
eyelashservice,Eyelash Service,beautysvc,,
fabricstores,Fabric Stores,artsandcrafts,,
facepainting,Face Painting,eventservices,,
fado_houses,Fado Houses,portuguese,,
faithbasedcpc,Faith-based Crisis Pregnancy Centers,crisispregnancycenters,,
falafel,Falafel,mediterranean,,
familydr,Family Practice,physicians,,
farmequipmentrepair,Farm Equipment Repair,localservices,,
farmersmarket,Farmers Market,food,,
farmingequipment,Farming Equipment,shopping,,
farms,Farms,arts,,
farriers,Farriers,petservices,,
fashion,Fashion,shopping,,
fasil,Fasil Music,nightlife,,
fencesgates,Fences & Gates,homeservices,,
fencing,Fencing Clubs,active,,
fengshui,Feng Shui,professional,,
ferries,Ferries,transport,,
fertility,Fertility,physicians,,
festivals,Festivals,arts,,
filipino,Filipino,restaurants,,
financialadvising,Financial Advising,financialservices,,
financialservices,Financial Services,,,
fingerprinting,Fingerprinting,localservices,,
firearmtraining,Firearm Training,specialtyschools,,
firedepartments,Fire Departments,publicservicesgovt,,
fireplace,Fireplace Services,homeservices,,
fireprotection,Fire Protection Services,homeservices,,
firewood,Firewood,homeservices,,
fireworks,Fireworks,shopping,,
firstaidclasses,First Aid Classes,specialtyschools,,
fischbroetchen,Fischbroetchen,restaurants,,
fishing,Fishing,active,,
fishmonger,Fishmonger,food,,
fishnchips,Fish & Chips,restaurants,,
fitness,Fitness & Instruction,active,,
fitnessequipment,Fitness/Exercise Equipment,shopping,,
flatbread,Flatbread,restaurants,,
fleamarkets,Flea Markets,shopping,,
flemish,Flemish,belgian,,
flightinstruction,Flight Instruction,specialtyschools,,
floatspa,Float Spa,health,,
flooring,Flooring,homeservices,,
floraldesigners,Floral Designers,eventservices,,
florists,Florists,flowers,,
flowers,Flowers & Gifts,shopping,,
flyboarding,Flyboarding,active,,
fondue,Fondue,restaurants,,
food,Food,,,
food_court,Food Court,restaurants,,
foodbanks,Food Banks,nonprofit,,
fooddeliveryservices,Food Delivery Services,food,,
foodsafety,Food Safety Training,specialtyschools,,
foodstands,Food Stands,restaurants,,
foodtours,Food Tours,tours,,
foodtrucks,Food Trucks,food,,
football,Soccer,active,,
footcare,Foot Care,beautysvc,,
forestry,Forestry,localservices,,
formalwear,Formal Wear,fashion,,
foundationrepair,Foundation Repair,homeservices,,
framing,Framing,artsandcrafts,,
franconian,Franconian,german,,
freediving,Free Diving,diving,,
freiduria,Freiduria,restaurants,,
french,French,restaurants,,
friterie,Friterie,food,,
friulan,Friulan,italian,,
frozenfood,Frozen Food,gourmet,,
fueldocks,Fuel Docks,auto,,
funeralservices,Funeral Services & Cemeteries,localservices,,
funfair,Fun Fair,festivals,,
furclothing,Fur Clothing,fashion,,
furniture,Furniture Stores,homeandgarden,,
furnitureassembly,Furniture Assembly,homeservices,,
furniturerepair,Furniture Repair,localservices,,
fuzhou,Fuzhou,chinese,,
galician,Galician,restaurants,,
galleries,Art Galleries,arts,shopping,
gamemeat,Game Meat,restaurants,,
gametruckrental,Game Truck Rental,eventservices,,
garage_door_services,Garage Door Services,homeservices,,
gardeners,Gardeners,homeservices,,
gardening,Nurseries & Gardening,homeandgarden,,
gardens,Botanical Gardens,arts,,
gastroenterologist,Gastroenterologist,physicians,,
gastropubs,Gastropubs,restaurants,,
gaybars,Gay Bars,bars,,
gelato,Gelato,food,,
gemstonesandminerals,Gemstones & Minerals,shopping,,
general_litigation,General Litigation,lawyers,,
generaldentistry,General Dentistry,dentists,,
generalfestivals,General Festivals,festivals,,
generatorinstallrepair,Generator Installation/Repair,localservices,,
geneticists,Geneticists,physicians,,
georgian,Georgian,restaurants,,
german,German,restaurants,,
gerontologist,Gerontologists,physicians,,
gestorias,Gestorias,localservices,,
giblets,Giblets,restaurants,,
giftshops,Gift Shops,flowers,,
glassandmirrors,Glass & Mirrors,homeservices,,
glassblowing,Glass Blowing,artclasses,,
gliding,Gliding,active,,
gluhwein,Mulled Wine,food,,
gluten_free,Gluten-Free,restaurants,,
gokarts,Go Karts,active,,
goldbuyers,Gold Buyers,shopping,,
golf,Golf,active,,
golfcartdealers,Golf Cart Dealers,auto,,
golfcartrentals,Golf Cart Rentals,eventservices,,
golfequipment,Golf Equipment,sportgoods,,
golflessons,Golf Lessons,fitness,,
gourmet,Specialty Food,food,,
gozleme,Gozleme,turkish,,
graphicdesign,Graphic Design,professional,,
greek,Greek,restaurants,,
grillingequipment,Grilling Equipment,homeandgarden,,
grillservices,Grill Services,localservices,,
grocery,Grocery,food,,
groomer,Pet Groomers,petservices,,
groutservices,Grout Services,homeservices,,
guamanian,Guamanian,restaurants,,
guesthouses,Guest Houses,hotelstravel,,
guitarstores,Guitar Stores,musicinstrumentservices,,
gun_ranges,Gun/Rifle Ranges,active,,
guns_and_ammo,Guns & Ammo,shopping,,
gunsmith,Gunsmith,localservices,,
gutterservices,Gutter Services,homeservices,,
gymnastics,Gymnastics,active,,
gyms,Gyms,fitness,,
gyudon,Gyudon,donburi,,
habilitativeservices,Habilitative Services,health,,
hainan,Hainan,chinese,,
hair,Hair Salons,beautysvc,,
hair_extensions,Hair Extensions,beautysvc,hair,
hairloss,Hair Loss Centers,beautysvc,,
hairremoval,Hair Removal,beautysvc,,
hairstylists,Hair Stylists,hair,,
haitian,Haitian,caribbean,,
hakka,Hakka,chinese,,
halal,Halal,restaurants,,
halfwayhouses,Halfway Houses,health,,
halotherapy,Halotherapy,health,,
handball,Handball,active,,
handrolls,Hand Rolls,japanese,,
handyman,Handyman,homeservices,,
hanggliding,Hang Gliding,active,,
hardware,Hardware Stores,homeandgarden,,
hats,Hats,fashion,,
hauntedhouses,Haunted Houses,arts,,
hawaiian,Hawaiian,restaurants,,
hawkercentre,Hawker Centre,food,,
hazardouswastedisposal,Hazardous Waste Disposal,localservices,,
headshops,Head Shops,shopping,,
health,Health & Medical,,,
healthcoach,Health Coach,health,,
healthinsurance,Health Insurance Offices,health,,
healthmarkets,Health Markets,gourmet,,
healthretreats,Health Retreats,hotelstravel,,
healthtrainers,Trainers,fitness,,
hearing_aids,Hearing Aids,health,,
hearingaidproviders,Hearing Aid Providers,health,,
henghwa,Henghwa,chinese,,
hennaartists,Henna Artists,eventservices,,
hepatologists,Hepatologists,physicians,,
herbalshops,Herbal Shops,health,,
herbsandspices,Herbs & Spices,gourmet,,
hessian,Hessian,german,,
heuriger,Heuriger,restaurants,,
hifi,High Fidelity Audio Equipment,shopping,,
highschools,Middle Schools & High Schools,education,,
hiking,Hiking,active,,
himalayan,Himalayan/Nepalese,restaurants,,
hindu_temples,Hindu Temples,religiousorgs,,
historicaltours,Historical Tours,tours,,
hkcafe,Hong Kong Style Cafe,restaurants,,
hobbyshops,Hobby Shops,shopping,,
hockeyequipment,Hockey Equipment,sportgoods,,
hokkien,Hokkien,chinese,,
holidaydecorations,Holiday Decorations,homeandgarden,,
home_inspectors,Home Inspectors,homeservices,,
home_organization,Home Organization,homeservices,,
homeandgarden,Home & Garden,shopping,,
homeappliancerepair,Appliances & Repair,localservices,,
homeautomation,Home Automation,homeservices,,
homecleaning,Home Cleaning,homeservices,,
homedecor,Home Decor,homeandgarden,,
homedevelopers,Home Developers,realestate,,
homeenergyauditors,Home Energy Auditors,homeservices,,
homehealthcare,Home Health Care,health,,
homeinsurance,Home & Rental Insurance,insurance,,
homelessshelters,Homeless Shelters,nonprofit,,
homemadefood,Homemade Food,turkish,,
homenetworkinstall,Home Network Installation,homeservices,,
homeopathic,Homeopathic,physicians,,
homeownerassociation,Homeowner Association,realestate,,
homeservices,Home Services,,,
homestaging,Home Staging,realestate,,
hometheatreinstallation,Home Theatre Installation,homeservices,,
homewindowtinting,Home Window Tinting,homeservices,,
honduran,Honduran,restaurants,,
honey,Honey,food,,
hookah_bars,Hookah Bars,bars,,
horse_boarding,Horse Boarding,pets,,
horsebackriding,Horseback Riding,active,,
horsequipment,Horse Equipment Shops,shopping,,
horseracing,Horse Racing,active,,
horumon,Horumon,japanese,,
hospice,Hospice,health,,
hospitalists,Hospitalists,physicians,,
hospitals,Hospitals,health,,
hostels,Hostels,hotelstravel,,
hot_air_balloons,Hot Air Balloons,active,,
hotdog,Hot Dogs,restaurants,,
hotdogs,Fast Food,restaurants,,
hotel_bar,Hotel bar,bars,,
hotels,Hotels,eventservices,hotelstravel,
hotelstravel,Hotels & Travel,,,
hotpot,Hot Pot,restaurants,,
hotsprings,Hot Springs,beautysvc,,
hottubandpool,Hot Tub & Pool,homeandgarden,,
housesitters,House Sitters,homeservices,,
housingcooperatives,Housing Cooperatives,realestate,,
hunan,Hunan,chinese,,
hungarian,Hungarian,restaurants,,
huntingfishingsupplies,Hunting & Fishing Supplies,sportgoods,,
hvac,Heating & Air Conditioning/HVAC,homeservices,,
hybridcarrepair,Hybrid Car Repair,auto,,
hydrojetting,Hydro-jetting,localservices,,
hydroponics,Hydroponics,gardening,,
hydrotherapy,Hydrotherapy,health,,
